Id,Company,CPU,RAM,Bus,SSD,HDD,GPU_name,GPU_ram,Screen,resolution,Weight(kg),Price(dong)
22,Lenovo,Intel Core i3-1005G1,4 GB,2666 MHz,256,0,On board,0,15.6, 1920 x 1080,1.85,9990000
23,Acer,AMD Ryzen 3-3250U,4 GB,2400 MHz,512,0,On board,0,15.6, 1920 x 1080,1.7,10290000
24,Lenovo,Intel Core i3-8130U,4 GB,2133 MHz,512,0,On board,0,14, 1920 x 1080,1.85,10290000
25,Dell,Intel Core i7-10750H,16 GB,2933 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 3840 x 2400,2.05,61990000
26,MacBook,Intel Core i7-9000U,16 GB,2666 MHz,512,0,AMD Radeon Pro 5300M,4,16, 3072 x 1920,2,59990000
27,MacBook,Intel Core i5-8000U,8 GB,2133 MHz,512,0,On board,0,13.3, 2560 x 1600,1.37,51990000
28,ASUS,Intel Core i7-10510U,16 GB,2133 MHz,1000,0,On board,0,14, 1920 x 1080,0.996,49990000
29,MacBook,Intel Core i5-10000U,16 GB,3733 MHz,512,0,On board,0,13.3, 2560 x 1600,1.4,47990000
30,HP,Intel Core i7-1065G7,16 GB,3200 MHz,512,0,On board,0,13.3, 3840 x 2160,1.3,47490000
31,Asus,Intel Core i7-1165G7,16 GB,4266 MHz,1000,0,On board,0,13.3, 3840 x 2160,1.2,39990000
32,Dell,Intel Core i5-1135G7,8 GB,4266 MHz,256,0,On board,0,13.4, 1920 x 1080,1.32,38990000
33,Dell,Intel Core i5-1135G7,8 GB,4266 MHz,512,0,On board,0,13.3, 1920 x 1200,1.26,38590000
34,MSI,Intel Core i7-10750H,16 GB,2666 MHz,1000,0,NVIDIA GeForce RTX 2060,6,15.6, 1920 x 1080,2.3,35990000
35,Lenovo,Intel Core i7-10510U,16 GB,3200 MHz,512,0,On board,0,14, 1920 x 1080,1.35,34990000
36,MacBook,Apple M1,8 GB,2666 MHz,256,0,On board,0,13.3, 2560 x 1600,1.4,34990000
37,MacBook,Intel Core i5-8000U,8 GB,2133 MHz,256,0,On board,0,13.3, 2560 x 1600,1.4,34990000
38,MacBook,Intel Core i5-10000U,8 GB,3733 MHz,512,0,On board,0,13.3, 2560 x 1600,1.29,34990000
39,Dell,Intel Core i7-10750H,16 GB,2933 MHz,512,0,NVIDIA GeForce GTX 1660Ti,6,15.6, 1920 x 1080,2.58,31590000
40,Acer,Intel Core i5-10300H,16 GB,2933 MHz,512,0,NVIDIA GeForce RTX 2060,6,15.6, 1920 x 1080,2.3,28990000
41,MacBook,Intel Core i3-10000U,8 GB,3733 MHz,256,0,On board,0,13.3, 2560 x 1600,1.29,28990000
42,MacBook,Apple M1,8 GB,2666 MHz,256,0,On board,0,13.3, 2560 x 1600,1.29,28990000
43,HP,Intel Core i7-10750H,8 GB,2933 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.23,28490000
44,HP,Intel Core i7-1165G7,8 GB,3200 MHz,512,0,On board,0,13.3, 1920 x 1080,1.25,28290000
45,HP,Intel Core i7-10510U,8 GB,2400 MHz,512,0,On board,0,13.3, 1920 x 1080,1.3,28290000
46,Dell,Intel Core i5-10210U,8 GB,2133 MHz,512,0,NVIDIA GeForce MX250,2,14, 1920 x 1080,1.32,27990000
47,Dell,Intel Core i7-10750H,8 GB,2933 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.56,27590000
48,Dell,Intel Core i5-10300H,8 GB,2933 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,1.9,27590000
49,HP,Intel Core i7-10510U,8 GB,2400 MHz,512,0,On board,0,13.3, 1920 x 1080,1.26,27490000
50,Dell,Intel Core i5-1135G7,8 GB,4266 MHz,512,0,On board,0,13.3, 1920 x 1080,1.37,27290000
51,HP,AMD Ryzen 7-3700U,8 GB,2400 MHz,256,0,On board,0,13.3, 1920 x 1080,1.31,26890000
52,Lenovo,Intel Core i7-9750H,8 GB,2666 MHz,1000,0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.3,26790000
53,Acer,Intel Core i7-10750H,8 GB,2666 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.3,26490000
